Date,Open,High,Low,Close,Adj Close,Volume
11/26/2012,191.800003,197.979996,188,194.779999,182.628708,284985
12/3/2012,196.009995,214,192.009995,203.770004,191.057877,236095
12/10/2012,203.770004,208,196.169998,199.770004,187.307373,174290
12/17/2012,199.990005,202,192,193.520004,181.447327,216010
12/24/2012,192.600006,199.779999,186.199997,192.880005,180.847214,281115
12/31/2012,192.789993,199.190002,189.110001,196.350006,184.100754,245390
1/7/2013,197.699997,201.389999,193.089996,200.350006,187.851227,205270
1/14/2013,201.779999,201.779999,196.229996,200.089996,187.607407,370525
1/21/2013,201.399994,209,197.990005,208.770004,195.745941,166545
1/28/2013,208.770004,215,202.619995,212.839996,199.562027,158445
2/4/2013,210.600006,216.009995,203.429993,211.589996,198.389999,233285
2/11/2013,212.820007,214,196.600006,204.270004,191.526703,174705
2/18/2013,204.199997,218.940002,202.589996,210.279999,197.161728,405770
2/25/2013,209,209.600006,189.199997,194.779999,182.628708,386490
3/4/2013,195,198,187.199997,189.630005,177.799988,186650
3/11/2013,190.589996,197,187.619995,194.639999,182.497421,220670
3/18/2013,194.600006,199.399994,189.320007,197.470001,185.150848,165840
3/25/2013,198.5,206.399994,186,205.970001,193.120605,124230
4/1/2013,206,206.800003,199.199997,201.320007,188.760712,136030
4/8/2013,200.399994,208.360001,200.199997,205.940002,193.092484,173280
4/15/2013,205.380005,208.440002,200.199997,206.369995,193.495651,114870
4/22/2013,206.399994,206.899994,192.199997,201.5,188.929489,158165
4/29/2013,202,205.300003,195.699997,200.289993,187.794952,177125
5/6/2013,198,206.800003,194,195.330002,183.144394,252585
5/13/2013,198.100006,198.100006,175.199997,181.729996,170.392807,350790
5/20/2013,180,183.110001,171.990005,177.559998,166.482971,199170
5/27/2013,178,186,170.220001,181.320007,170.008408,226585
6/3/2013,181,185.960007,176.039993,179.559998,168.358215,181505
6/10/2013,179.789993,184.610001,175.149994,184.130005,172.643112,226300
6/17/2013,182.699997,190.5,180.039993,189.580002,177.753128,148115
6/24/2013,181.800003,189.860001,181.800003,185.669998,174.087021,231110
7/1/2013,187.199997,189.800003,185,185.679993,174.096405,181795
7/8/2013,185.789993,193.589996,184,186.190002,174.57457,186980
7/15/2013,186.289993,189.990005,183.089996,185.009995,173.468201,163650
7/22/2013,185.199997,188.600006,175.600006,175.970001,164.992188,147330
7/29/2013,176.5,179.100006,165.009995,176.889999,165.854782,171245
8/5/2013,177.199997,179.970001,166.800003,174.410004,163.529495,104455
8/12/2013,172.399994,177.800003,171.009995,172.279999,161.532349,106510
8/19/2013,175.600006,175.600006,161.529999,163.389999,153.19693,150605
8/26/2013,164.990005,167.789993,147.020004,165.539993,155.212799,181215
9/2/2013,154.009995,184.940002,150.009995,178.179993,168.39386,188895
9/9/2013,178.179993,184.600006,173.050003,175.270004,165.643723,108270
9/16/2013,176.199997,185.800003,171.600006,184.270004,174.149399,165325
9/23/2013,183.990005,189.800003,176,184.350006,174.225006,258375
9/30/2013,184.199997,194,176.210007,193.410004,182.787445,183275
10/7/2013,195,209,186,202.899994,191.75618,308460
10/14/2013,202,207.699997,195,203.820007,192.625687,248140
10/21/2013,203.699997,205,180.229996,197.119995,186.293671,149755
10/28/2013,199,202.529999,187.199997,197.770004,186.907959,201235
11/4/2013,197.770004,201.220001,194,195.940002,185.178482,214575
11/11/2013,193,196.800003,182.25,185.270004,175.094482,113640
11/18/2013,189.600006,189.600006,164.009995,166.610001,158.296021,209280
11/25/2013,166.610001,189.550003,160.800003,181.179993,172.138947,272125
12/2/2013,184.399994,189.199997,179,180.539993,171.530869,139890
12/9/2013,182.229996,190.399994,177.009995,182.029999,172.946533,267115
12/16/2013,182.199997,185.320007,174.990005,177.649994,168.78508,195890
12/23/2013,178.619995,182.199997,176.399994,178.630005,169.716187,221420
12/30/2013,180,186.009995,177.639999,180.369995,171.369385,429015
1/6/2014,180.229996,185,175.399994,181.070007,172.034439,148180
1/13/2014,182,184.600006,177,178.440002,169.535721,140105
1/20/2014,178.800003,181.520004,174,177.630005,168.766098,157385
1/27/2014,176.479996,183.800003,170.009995,178.039993,169.15564,137320
2/3/2014,178.100006,185.979996,176,177.929993,169.051117,135800
2/10/2014,178.070007,183.770004,173.320007,179.199997,170.257751,158185
2/17/2014,179.380005,184.190002,173.100006,176.479996,167.673477,136220
2/24/2014,176,180,173.600006,179.580002,170.618759,148540
3/3/2014,178,184.990005,175.710007,183.699997,174.533188,209665
3/10/2014,183.699997,193.990005,180,181.240005,172.195969,650590
3/17/2014,181.240005,181.990005,170,170.619995,162.105896,60085
3/24/2014,172.5,174.970001,168,172.240005,163.645081,163435
3/31/2014,172.800003,185.199997,170.25,182.809998,173.687607,130100
4/7/2014,181,190.199997,180,188.800003,179.378677,71785
4/14/2014,188.800003,200,185.020004,197.710007,187.844101,425530
4/21/2014,199.800003,221,196,204.210007,194.019745,114515
4/28/2014,204,235.970001,200.649994,221.600006,210.541962,550150
5/5/2014,224.979996,249.979996,222,237.130005,225.297012,324710
5/12/2014,248.399994,253.979996,230.100006,247.940002,235.567581,147900
5/19/2014,248,307,247.419998,304.98999,289.770691,721035
5/26/2014,309.98999,326,284.230011,292.640015,278.037018,526320
